model-1718283617,1718283618.177,0.47,0.2508,0.48,0.2585
model-1718283617,1718283618.203,0.56,0.246,0.55,0.2466
model-1718283617,1718283618.229,0.48,0.2521,0.49,0.2552
model-1718283617,1718283618.254,0.49,0.2555,0.54,0.249
model-1718283617,1718283618.278,0.56,0.2479,0.51,0.2503
model-1718283617,1718283618.305,0.62,0.2455,0.58,0.2451
model-1718283617,1718283618.329,0.5,0.2518,0.52,0.2503
model-1718283617,1718283618.355,0.5,0.251,0.51,0.2504
model-1718283617,1718283618.379,0.54,0.2485,0.57,0.2465
model-1718283617,1718283618.402,0.43,0.2553,0.55,0.2485
model-1718283617,1718283618.429,0.56,0.2481,0.57,0.2483
model-1718283617,1718283618.453,0.52,0.2494,0.53,0.2492
model-1718283617,1718283618.478,0.48,0.2504,0.51,0.2499
model-1718283617,1718283618.501,0.52,0.2498,0.54,0.2496
model-1718283617,1718283618.525,0.55,0.2495,0.45,0.2504
model-1718283617,1718283618.552,0.47,0.2505,0.52,0.2496
model-1718283617,1718283618.577,0.4,0.2504,0.5,0.2498
model-1718283617,1718283618.6,0.53,0.2497,0.46,0.2518
model-1718283617,1718283618.624,0.46,0.2513,0.48,0.251
model-1718283617,1718283618.648,0.48,0.2509,0.46,0.2521
model-1718283617,1718283618.674,0.61,0.2454,0.46,0.2533
model-1718283617,1718283618.698,0.5,0.2512,0.49,0.2521
model-1718283617,1718283618.722,0.59,0.2452,0.4,0.2605
model-1718283617,1718283618.745,0.42,0.2584,0.5,0.2512
model-1718283617,1718283618.769,0.54,0.2472,0.52,0.2492
model-1718283617,1718283618.796,0.5,0.2502,0.48,0.251
model-1718283617,1718283618.82,0.49,0.2504,0.49,0.2501
model-1718283617,1718283618.843,0.56,0.2475,0.46,0.2512
model-1718283617,1718283618.867,0.55,0.2475,0.44,0.252
model-1718283617,1718283618.891,0.45,0.2506,0.47,0.2503
model-1718283617,1718283618.918,0.52,0.2485,0.46,0.2508
model-1718283617,1718283618.942,0.54,0.2476,0.52,0.2495
model-1718283617,1718283618.965,0.52,0.2486,0.51,0.2499
model-1718283617,1718283618.99,0.51,0.2489,0.41,0.2541
model-1718283617,1718283619.014,0.49,0.2493,0.57,0.2453
model-1718283617,1718283619.039,0.52,0.2495,0.56,0.2466
model-1718283617,1718283619.066,0.43,0.2504,0.46,0.2498
model-1718283617,1718283619.09,0.54,0.2466,0.43,0.2509
model-1718283617,1718283619.116,0.54,0.2494,0.51,0.2478
model-1718283617,1718283619.141,0.49,0.2495,0.53,0.247
model-1718283617,1718283619.166,0.5,0.2501,0.54,0.2486
model-1718283617,1718283619.191,0.65,0.2479,0.59,0.2482
model-1718283617,1718283619.214,0.52,0.2482,0.54,0.2491
model-1718283617,1718283619.238,0.51,0.2497,0.74,0.2448
model-1718283617,1718283619.264,0.6,0.2478,0.61,0.2472
model-1718283617,1718283619.289,0.63,0.2463,0.54,0.2476
model-1718283617,1718283619.313,0.49,0.2495,0.5,0.2508
model-1718283617,1718283619.336,0.57,0.2421,0.39,0.2636
model-1718283617,1718283619.361,0.48,0.2547,0.47,0.2535
model-1718283617,1718283619.388,0.57,0.2433,0.48,0.2526
model-1718283617,1718283619.412,0.69,0.2386,0.49,0.2503
model-1718283617,1718283619.436,0.58,0.2409,0.51,0.2477
model-1718283617,1718283619.46,0.45,0.2607,0.64,0.2415
model-1718283617,1718283619.484,0.59,0.2462,0.62,0.239
model-1718283617,1718283619.51,0.59,0.2421,0.57,0.2441
model-1718283617,1718283619.534,0.58,0.2438,0.48,0.2503
model-1718283617,1718283619.558,0.5,0.2521,0.55,0.2462
model-1718283617,1718283619.582,0.5,0.2536,0.57,0.2436
model-1718283617,1718283619.605,0.52,0.2472,0.56,0.2448
model-1718283617,1718283619.631,0.56,0.2445,0.52,0.2486
model-1718283617,1718283619.656,0.44,0.2551,0.54,0.2456
model-1718283617,1718283619.68,0.57,0.2435,0.6,0.2455
model-1718283617,1718283619.703,0.62,0.2421,0.62,0.2391
model-1718283617,1718283619.727,0.56,0.2449,0.59,0.2442
model-1718283617,1718283619.753,0.63,0.2407,0.52,0.2536
model-1718283617,1718283619.777,0.58,0.2405,0.58,0.2425
model-1718283617,1718283619.801,0.49,0.2536,0.59,0.2425
model-1718283617,1718283619.825,0.63,0.2287,0.5,0.248
model-1718283617,1718283619.85,0.59,0.2344,0.45,0.2587
model-1718283617,1718283619.876,0.56,0.2435,0.57,0.2469
model-1718283617,1718283619.9,0.54,0.2478,0.55,0.2461
model-1718283617,1718283619.924,0.55,0.2445,0.57,0.2416
model-1718283617,1718283619.948,0.5,0.2545,0.56,0.238
model-1718283617,1718283619.971,0.68,0.2345,0.56,0.2411
model-1718283617,1718283619.997,0.59,0.2384,0.68,0.2243
model-1718283617,1718283620.022,0.59,0.2343,0.57,0.2562
model-1718283617,1718283620.046,0.64,0.2358,0.51,0.2616
model-1718283617,1718283620.069,0.51,0.2521,0.57,0.2538
model-1718283617,1718283620.095,0.67,0.2166,0.58,0.2395
model-1718283617,1718283620.122,0.57,0.2433,0.67,0.2315
model-1718283617,1718283620.146,0.52,0.2462,0.64,0.227
model-1718283617,1718283620.169,0.63,0.2317,0.51,0.2545
model-1718283617,1718283620.193,0.52,0.242,0.55,0.2475
model-1718283617,1718283620.217,0.59,0.24,0.64,0.2311
model-1718283617,1718283620.243,0.56,0.245,0.59,0.2401
model-1718283617,1718283620.266,0.67,0.2218,0.49,0.2602
model-1718283617,1718283620.29,0.57,0.2484,0.59,0.2414
model-1718283617,1718283620.314,0.45,0.2702,0.6,0.2384
model-1718283617,1718283620.338,0.55,0.2501,0.59,0.241
model-1718283617,1718283620.364,0.72,0.2248,0.65,0.2209
model-1718283617,1718283620.389,0.62,0.228,0.68,0.2211
model-1718283617,1718283620.412,0.59,0.2368,0.52,0.2559
model-1718283617,1718283620.436,0.63,0.2389,0.55,0.2446
model-1718283617,1718283620.461,0.51,0.2472,0.63,0.2266
model-1718283617,1718283620.487,0.59,0.2373,0.64,0.2364
model-1718283617,1718283620.512,0.54,0.2491,0.6,0.2379
model-1718283617,1718283620.535,0.57,0.2429,0.57,0.242
model-1718283617,1718283620.558,0.63,0.2318,0.57,0.2496
model-1718283617,1718283620.583,0.65,0.228,0.57,0.2415
model-1718283617,1718283620.608,0.64,0.2261,0.57,0.2434
model-1718283617,1718283620.632,0.6,0.2267,0.6,0.2496
model-1718283617,1718283620.656,0.62,0.2267,0.61,0.2331
model-1718283617,1718283620.68,0.62,0.2284,0.6,0.2409
model-1718283617,1718283620.704,0.55,0.2513,0.67,0.2189
model-1718283617,1718283620.73,0.68,0.2368,0.63,0.2327
model-1718283617,1718283620.755,0.7,0.2213,0.66,0.2299
model-1718283617,1718283620.779,0.65,0.2212,0.6,0.2345
model-1718283617,1718283620.802,0.54,0.2616,0.64,0.2248
model-1718283617,1718283620.827,0.54,0.2595,0.64,0.2365
model-1718283617,1718283620.853,0.64,0.2193,0.61,0.2371
model-1718283617,1718283620.877,0.58,0.2341,0.62,0.2367
model-1718283617,1718283620.901,0.53,0.2506,0.66,0.2229
model-1718283617,1718283620.924,0.68,0.2166,0.69,0.2133
model-1718283617,1718283620.948,0.6,0.2281,0.56,0.245
model-1718283617,1718283620.974,0.58,0.2485,0.62,0.2251
model-1718283617,1718283620.998,0.75,0.2054,0.6,0.2195
model-1718283617,1718283621.022,0.64,0.2345,0.58,0.2402
model-1718283617,1718283621.046,0.69,0.2222,0.65,0.2288
model-1718283617,1718283621.07,0.61,0.2281,0.63,0.2167
model-1718283617,1718283621.096,0.61,0.2394,0.63,0.2237
model-1718283617,1718283621.12,0.64,0.2226,0.59,0.2311
model-1718283617,1718283621.144,0.62,0.2269,0.64,0.2305
model-1718283617,1718283621.167,0.62,0.2182,0.68,0.2037
model-1718283617,1718283621.191,0.63,0.2425,0.7,0.2045
model-1718283617,1718283621.218,0.57,0.2296,0.67,0.2079
model-1718283617,1718283621.241,0.65,0.2315,0.7,0.2184
model-1718283617,1718283621.266,0.66,0.218,0.72,0.2148
model-1718283617,1718283621.29,0.56,0.2476,0.6,0.2375
model-1718283617,1718283621.314,0.67,0.2109,0.57,0.2381
model-1718283617,1718283621.339,0.61,0.2218,0.64,0.212
model-1718283617,1718283621.364,0.63,0.2352,0.66,0.2153
model-1718283617,1718283621.388,0.61,0.2349,0.65,0.221
model-1718283617,1718283621.412,0.66,0.2165,0.66,0.2117
model-1718283617,1718283621.436,0.58,0.2348,0.58,0.2447
model-1718283617,1718283621.462,0.61,0.2255,0.62,0.2204
model-1718283617,1718283621.486,0.6,0.2288,0.71,0.2187
model-1718283617,1718283621.509,0.55,0.2462,0.63,0.2288
model-1718283617,1718283621.533,0.72,0.2,0.7,0.2126
model-1718283617,1718283621.557,0.67,0.2042,0.63,0.2241
model-1718283617,1718283621.585,0.55,0.2471,0.58,0.239
model-1718283617,1718283621.609,0.66,0.2231,0.71,0.1923
model-1718283617,1718283621.632,0.59,0.248,0.72,0.2062
model-1718283617,1718283621.656,0.69,0.2092,0.7,0.2002
model-1718283617,1718283621.68,0.63,0.2248,0.61,0.2309
model-1718283617,1718283621.706,0.64,0.214,0.65,0.2095
model-1718283617,1718283621.731,0.61,0.2307,0.54,0.2618
model-1718283617,1718283621.755,0.62,0.2183,0.56,0.2467
model-1718283617,1718283621.779,0.63,0.2152,0.68,0.2144
model-1718283617,1718283621.804,0.63,0.2106,0.71,0.2076
model-1718283617,1718283621.832,0.57,0.238,0.66,0.2113
model-1718283617,1718283621.857,0.65,0.2087,0.71,0.1994
model-1718283617,1718283621.882,0.65,0.21,0.65,0.2272
model-1718283617,1718283621.906,0.63,0.2246,0.64,0.2247
model-1718283617,1718283621.929,0.61,0.2132,0.64,0.2137
model-1718283617,1718283621.957,0.63,0.2351,0.62,0.2186
model-1718283617,1718283621.982,0.66,0.2133,0.56,0.2457
model-1718283617,1718283622.005,0.66,0.2236,0.55,0.2482
model-1718283617,1718283622.029,0.63,0.2206,0.53,0.2648
model-1718283617,1718283622.054,0.56,0.2599,0.56,0.2467
